,created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
91,2014-09-22,0.7039571428571428,7,0.4404,1.0,0.3598571428571429,7.0,0.4975,3.0,51.0,51.2,48.94,50.01,50.01,51.6,52.29,51.05,51.86,51.86
92,2014-09-23,0.0,1,0.7039571428571428,7.0,0.4404,1.0,0.3598571428571429,7.0,49.04,50.76,49.0,50.08,50.08,51.0,51.2,48.94,50.01,50.01
93,2014-09-24,0.4588,1,0.0,1.0,0.7039571428571428,7.0,0.4404,1.0,50.22,50.57,49.41,50.43,50.43,49.04,50.76,49.0,50.08,50.08
94,2014-09-25,0.34,2,0.4588,1.0,0.0,1.0,0.7039571428571428,7.0,50.5,50.99,49.22,49.39,49.39,50.22,50.57,49.41,50.43,50.43
95,2014-09-26,0.02573333333333333,3,0.34,2.0,0.4588,1.0,0.0,1.0,49.65,49.95,49.21,49.32,49.32,50.5,50.99,49.22,49.39,49.39
96,2014-09-30,0.4352333333333333,3,0.02573333333333333,3.0,0.34,2.0,0.4588,1.0,49.38,49.53,48.02,48.54,48.54,48.8,49.73,48.28,49.05,49.05
97,2014-10-01,0.61035,6,0.4352333333333333,3.0,0.02573333333333333,3.0,0.34,2.0,48.44,48.53,47.13,48.05,48.05,49.38,49.53,48.02,48.54,48.54
98,2014-10-02,0.0,1,0.61035,6.0,0.4352333333333333,3.0,0.02573333333333333,3.0,50.04,50.56,49.07,50.28,50.28,48.44,48.53,47.13,48.05,48.05
99,2014-10-03,0.37895,2,0.0,1.0,0.61035,6.0,0.4352333333333333,3.0,50.61,51.3,50.21,51.04,51.04,50.04,50.56,49.07,50.28,50.28
100,2014-10-05,0.0,1,0.37895,2.0,0.0,1.0,0.61035,6.0,,,,,,,,,,
101,2014-10-07,0.29055,4,0.0,1.0,0.37895,2.0,0.0,1.0,51.71,52.29,51.15,51.91,51.91,51.83,52.5,51.56,52.12,52.12
102,2014-10-08,0.3654333333333333,3,0.29055,4.0,0.0,1.0,0.37895,2.0,52.02,52.58,50.53,51.86,51.86,51.71,52.29,51.15,51.91,51.91
103,2014-10-10,0.03467142857142857,7,0.3654333333333333,3.0,0.29055,4.0,0.0,1.0,48.93,49.18,47.04,47.38,47.38,52.45,53.11,50.88,51.4,51.4
104,2014-10-11,0.0,1,0.03467142857142857,7.0,0.3654333333333333,3.0,0.29055,4.0,,,,,,,,,,
105,2014-10-12,0.0,1,0.0,1.0,0.03467142857142857,7.0,0.3654333333333333,3.0,,,,,,,,,,
106,2014-10-13,0.37126,5,0.0,1.0,0.0,1.0,0.03467142857142857,7.0,47.71,47.79,44.2,44.92,44.92,48.93,49.18,47.04,47.38,47.38
107,2014-10-17,0.0,2,0.37126,5.0,0.0,1.0,0.0,1.0,46.68,46.95,45.31,45.5,45.5,43.94,45.98,43.82,45.27,45.27
108,2014-10-20,0.7663,2,0.0,2.0,0.37126,5.0,0.0,1.0,45.34,46.48,45.1,46.09,46.09,46.68,46.95,45.31,45.5,45.5
