created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
2020-04-03,0.1944235294117647,17,-0.027099999999999992,11.0,0.37914,5.0,0.2064142857142857,7.0,101.9,103.1,93.68,96.0,96.0,96.21,98.85,89.28,90.89,90.89
2020-04-04,0.023044444444444447,9,0.1944235294117647,17.0,-0.027099999999999992,11.0,0.37914,5.0,,,,,,,,,,
2020-04-05,0.2047571428571428,21,0.023044444444444447,9.0,0.1944235294117647,17.0,-0.027099999999999992,11.0,,,,,,,,,,
2020-04-06,0.1722923076923077,13,0.2047571428571428,21.0,0.023044444444444447,9.0,0.1944235294117647,17.0,102.24,104.2,99.59,103.25,103.25,101.9,103.1,93.68,96.0,96.0
2020-04-07,0.16439166666666666,12,0.1722923076923077,13.0,0.2047571428571428,21.0,0.023044444444444447,9.0,109.0,113.0,106.47,109.09,109.09,102.24,104.2,99.59,103.25,103.25
2020-04-08,0.18839,10,0.16439166666666666,12.0,0.1722923076923077,13.0,0.2047571428571428,21.0,110.84,111.44,106.67,109.77,109.77,109.0,113.0,106.47,109.09,109.09
2020-04-09,0.04272727272727274,11,0.18839,10.0,0.16439166666666666,12.0,0.1722923076923077,13.0,112.42,115.04,111.42,114.6,114.6,110.84,111.44,106.67,109.77,109.77
2020-04-10,0.06675,6,0.04272727272727274,11.0,0.18839,10.0,0.16439166666666666,12.0,,,,,,,,,,
2020-04-11,0.19711250000000002,8,0.06675,6.0,0.04272727272727274,11.0,0.18839,10.0,,,,,,,,,,
2020-04-12,0.2075142857142857,7,0.19711250000000002,8.0,0.06675,6.0,0.04272727272727274,11.0,,,,,,,,,,
2020-04-13,0.1586428571428571,7,0.2075142857142857,7.0,0.19711250000000002,8.0,0.06675,6.0,118.03,130.4,116.11,130.19,130.19,112.42,115.04,111.42,114.6,114.6
