created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_1dlag_2dlag,volumne_1dlag_2dlag,sentiment_3dlag,volumne_3dlag,sentiment_1dlag_3dlag,volumne_1dlag_3dlag,sentiment_2dlag_3dlag,volumne_2dlag_3dlag,sentiment_1dlag_2dlag_3dlag,volumne_1dlag_2dlag_3dlag,open,high,low,close,adjclose
2014-09-02,0.28595,2,0.4939,1.0,0.20051111111111114,9.0,0.0,1.0,0.0,1.0,0.40284,5.0,0.0,1.0,0.06945882352941177,17.0,55.1,56.98,54.86,56.82,56.82
2014-09-04,-0.003720000000000001,5,0.28595,2.0,0.4939,1.0,0.20051111111111114,9.0,0.20051111111111114,9.0,0.0,1.0,0.40284,5.0,0.0,1.0,56.8,58.28,56.08,57.21,57.21
2014-09-08,0.18036666666666668,3,-0.003720000000000001,5.0,0.28595,2.0,0.4939,1.0,0.4939,1.0,0.20051111111111114,9.0,0.0,1.0,0.40284,5.0,55.52,56.98,55.5,56.42,56.42
2014-09-09,0.4019,1,0.18036666666666668,3.0,-0.003720000000000001,5.0,0.28595,2.0,0.28595,2.0,0.4939,1.0,0.20051111111111114,9.0,0.0,1.0,56.6,57.1,55.4,55.7,55.7
2014-09-10,0.128,1,0.4019,1.0,0.18036666666666668,3.0,-0.003720000000000001,5.0,-0.003720000000000001,5.0,0.28595,2.0,0.4939,1.0,0.20051111111111114,9.0,55.9,56.28,54.73,56.22,56.22
2014-09-11,0.0,1,0.128,1.0,0.4019,1.0,0.18036666666666668,3.0,0.18036666666666668,3.0,-0.003720000000000001,5.0,0.28595,2.0,0.4939,1.0,56.09,56.96,55.73,56.06,56.06
2014-09-12,0.0,1,0.0,1.0,0.128,1.0,0.4019,1.0,0.4019,1.0,0.18036666666666668,3.0,-0.003720000000000001,5.0,0.28595,2.0,56.1,56.48,55.4,55.84,55.84
2014-09-16,0.3901833333333334,6,0.0,1.0,0.0,1.0,0.128,1.0,0.128,1.0,0.4019,1.0,0.18036666666666668,3.0,-0.003720000000000001,5.0,51.03,52.49,50.48,52.15,52.15
2014-09-18,0.4975,3,0.3901833333333334,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.128,1.0,0.4019,1.0,0.18036666666666668,3.0,52.67,53.12,52.46,52.76,52.76
2014-09-19,0.3598571428571429,7,0.4975,3.0,0.3901833333333334,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.128,1.0,0.4019,1.0,51.6,52.29,51.05,51.86,51.86
2014-09-20,0.4404,1,0.3598571428571429,7.0,0.4975,3.0,0.3901833333333334,6.0,0.3901833333333334,6.0,0.0,1.0,0.0,1.0,0.128,1.0,,,,,
2014-09-22,0.7039571428571428,7,0.4404,1.0,0.3598571428571429,7.0,0.4975,3.0,0.4975,3.0,0.3901833333333334,6.0,0.0,1.0,0.0,1.0,51.0,51.2,48.94,50.01,50.01
2014-09-23,0.0,1,0.7039571428571428,7.0,0.4404,1.0,0.3598571428571429,7.0,0.3598571428571429,7.0,0.4975,3.0,0.3901833333333334,6.0,0.0,1.0,49.04,50.76,49.0,50.08,50.08
2014-09-24,0.4588,1,0.0,1.0,0.7039571428571428,7.0,0.4404,1.0,0.4404,1.0,0.3598571428571429,7.0,0.4975,3.0,0.3901833333333334,6.0,50.22,50.57,49.41,50.43,50.43
2014-09-25,0.34,2,0.4588,1.0,0.0,1.0,0.7039571428571428,7.0,0.7039571428571428,7.0,0.4404,1.0,0.3598571428571429,7.0,0.4975,3.0,50.5,50.99,49.22,49.39,49.39
